,case,bus_count,runtime_seconds,converged,losses_mw
0,pglib_opf_case5_pjm.mat,5,1.6343259000000003,True,5.916044720325104
1,pglib_opf_case14_ieee.mat,14,1.0305596999999995,True,18.125218645453128
2,pglib_opf_case24_ieee_rts.mat,24,0.9712476000000008,True,47.57593845823876
3,pglib_opf_case30_as.mat,30,0.8101731999999995,True,10.604752738085173
4,pglib_opf_case30_fsr.mat,30,0.7278214999999992,True,2.7484262090333367
5,pglib_opf_case30_ieee.mat,30,0.6909951000000003,False,0.0
6,pglib_opf_case57_ieee.mat,57,0.9060780000000008,True,53.74146948420571
7,pglib_opf_case73_ieee_rts.mat,73,1.0863686000000001,True,136.07352287621308
8,pglib_opf_case89_pegase.mat,89,1.3518392999999982,True,103.82980401231238
9,pglib_opf_case118_ieee.mat,118,1.2041150000000016,True,143.70547838360116
10,pglib_opf_case200_tamu.mat,200,1.1764008999999973,True,13.379941538439876
11,pglib_opf_case500_tamu.mat,500,4.297043099999996,True,92.65548458043716
12,pglib_opf_case588_sdet.mat,588,10.26680619999999,True,138.49452831240444
13,pglib_opf_case1354_pegase.mat,1354,48.02734369999999,True,1524.876370568987
14,pglib_opf_case2316_sdet.mat,2316,156.008155,True,801.8981741258482
15,pglib_opf_case2383wp_k.mat,2383,92.27772189999996,True,562.1281189819473
16,pglib_opf_case2736sp_k.mat,2736,97.67910430000006,True,329.30681072357794
17,pglib_opf_case2737sop_k.mat,2737,77.30987790000006,True,158.65870166710414
18,pglib_opf_case2746wop_k.mat,2746,104.38140209999995,True,337.50672902868564
19,pglib_opf_case2746wp_k.mat,2746,107.83660840000016,True,513.8784030727961
20,pglib_opf_case2869_pegase.mat,2869,189.00219349999998,True,2700.61288265154
21,pglib_opf_case3012wp_k.mat,3012,188.01473080000005,True,606.8727755836743
22,pglib_opf_case3120sp_k.mat,3120,169.19686140000022,True,430.9284123068612
23,pglib_opf_case3375wp_k.mat,3374,240.39018269999997,True,839.768502521732
