case: pglib_opf_case24_ieee_rts.mat, iter: 100, n: 10, a1,a2: 0.2,0.2 omega: 0.5

iter, bestFitness
0, 43.934721058212006
1, 43.603609324333014
2, 41.98700087230077
3, 41.03105615695431
4, 40.17749527907155
5, 39.735056216264816
6, 39.53628638113877
7, 39.460915617744384
8, 39.429221022383324
9, 39.4148698369319
10, 39.40806807482006
11, 39.40476062677398
12, 39.403130257925156
13, 39.40232091190886
14, 39.40191769845543
15, 39.40171645661153
16, 39.40161592690953
17, 39.40156568486432
18, 39.401540569541105
19, 39.40152801330527
20, 39.40152173554466
21, 39.40151859675265
22, 39.40151702737867
23, 39.40151624269744
24, 39.40151585035817
25, 39.40151565418961
26, 39.40151555610575
27, 39.40151550706251
28, 39.40151548254116
29, 39.40151547028178
30, 39.40151546415141
31, 39.40151546108515
32, 39.4015154595528
33, 39.40151545878649
34, 39.40151545840345
35, 39.401515458211804
36, 39.401515458116464
37, 39.40151545806852
38, 39.4015154580441
39, 39.40151545803275
40, 39.401515458026644
41, 39.40151545802393
42, 39.40151545802294
43, 39.401515458020924
44, 39.40151545801975
45, 39.40151545801975
46, 39.40151545801975
47, 39.40151545801975
48, 39.40151545801975
49, 39.40151545801975
50, 39.40151545801975
51, 39.40151545801975
52, 39.40151545801968
53, 39.40151545801968
54, 39.40151545801968
55, 39.40151545801968
56, 39.40151545801968
57, 39.40151545801968
58, 39.40151545801968
59, 39.40151545801968
60, 39.40151545801968
61, 39.40151545801968
62, 39.40151545801968
63, 39.40151545801968
64, 39.40151545801968
65, 39.40151545801968
66, 39.40151545801968
67, 39.40151545801968
68, 39.40151545801968
69, 39.40151545801968
70, 39.40151545801968
71, 39.40151545801968
72, 39.40151545801968
73, 39.40151545801968
74, 39.40151545801968
75, 39.40151545801968
76, 39.40151545801968
77, 39.40151545801968
78, 39.40151545801968
79, 39.40151545801968
80, 39.40151545801968
81, 39.40151545801968
82, 39.40151545801968
83, 39.40151545801968
84, 39.40151545801968
85, 39.40151545801968
86, 39.40151545801968
87, 39.40151545801968
88, 39.40151545801968
89, 39.40151545801968
90, 39.40151545801968
91, 39.40151545801968
92, 39.40151545801968
93, 39.40151545801968
94, 39.40151545801968
95, 39.40151545801968
96, 39.40151545801968
97, 39.40151545801968
98, 39.40151545801968
99, 39.40151545801968


 Best Position 
0      17.354571
1      17.895365
2      81.432117
3       0.000000
4       9.520778
5     143.469545
6     236.093728
7     356.864946
8      32.820266
9     110.749648
10      1.007923
11      1.003387
12      1.001266
13      1.004917
14      1.002847
15      1.008701
16      1.022817
17      1.023967
18      1.004047
19      1.023049
20      1.000000
21      1.000000
22      1.000000
23     -0.000000
24      1.000000
25      2.000000
Name: 7, dtype: float64
